315,Rock Incense
99,Root Fossil
318,Rose Incense
212,Rowap Berry
430,Rule Book
456,S.S. Ticket
44,Sacred Ash
5,Safari Ball
203,Salac Berry
232,Scope Lens
254,Sea Incense
436,Seal Bag
434,Seal Case
467,Secret Key
464,SecretPotion
244,Sharp Beak
295,Shed Shell
253,Shell Bell
107,Shiny Stone
70,Shoal Salt
71,Shoal Shell
191,Shuca Berry
251,Silk Scarf
482,Silver Wing
222,SilverPowder
158,Sitrus Berry
105,Skull Fossil
306,Sky Plate
473,SlowpokeTail
228,Smoke Ball
283,Smooth Rock
144,Snow Mail
31,Soda Pop
237,Soft Sand
218,Soothe Bell
225,Soul Dew
145,Space Mail
247,Spell Tag
179,Spelon Berry
299,Splash Plate
310,Spooky Plate
499,Sport Ball
448,Sprayduck
477,SquirtBottle
97,Stable Mulch
91,Star Piece
90,Stardust
207,Starf Berry
142,Steel Mail
259,Stick
288,Sticky Barb
309,Stone Plate
463,Storage Key
451,Suite Key
80,Sun Stone
26,Super Potion
76,Super Repel
447,Super Rod
174,Tamato Berry
194,Tanga Berry
258,Thick Club
83,Thunder Stone
503,Tidal Bell
10,Timer Ball
86,TinyMushroom
328,TM01
329,TM02
330,TM03
331,TM04
332,TM05
333,TM06
334,TM07
335,TM08
336,TM09
337,TM10
338,TM11
339,TM12
340,TM13
341,TM14
342,TM15
343,TM16
344,TM17
345,TM18
346,TM19
347,TM20
348,TM21
349,TM22
350,TM23
351,TM24
352,TM25
353,TM26
354,TM27
355,TM28
356,TM29
357,TM30
358,TM31
359,TM32
360,TM33
361,TM34
362,TM35
363,TM36
364,TM37
365,TM38
366,TM39
367,TM40
368,TM41
369,TM42
370,TM43
371,TM44
372,TM45
373,TM46
374,TM47
375,TM48
376,TM49
377,TM50
378,TM51
379,TM52
380,TM53
381,TM54
382,TM55
383,TM56
384,TM57
385,TM58
386,TM59
387,TM60
388,TM61
389,TM62
390,TM63
391,TM64
392,TM65
393,TM66
394,TM67
395,TM68
396,TM69
397,TM70
398,TM71
399,TM72
400,TM73
401,TM74
402,TM75
403,TM76
404,TM77
405,TM78
406,TM79
407,TM80
408,TM81
409,TM82
410,TM83
411,TM84
412,TM85
413,TM86
414,TM87
415,TM88
416,TM89
417,TM90
418,TM91
419,TM92
442,Town Map
272,Toxic Orb
304,Toxic Plate
141,Tunnel Mail
248,TwistedSpoon
2,Ultra Ball
469,Unown Report
252,Up-Grade
465,Vs. Recorder
443,Vs. Seeker
186,Wacan Berry
84,Water Stone
181,Watmel Berry
317,Wave Incense
167,Wepear Berry
69,White Flute
214,White Herb
490,Wht Apricorn
265,Wide Lens
160,Wiki Berry
267,Wise Glasses
438,Works Key
60,X Accuracy
57,X Attack
58,X Defend
62,X Sp. Def
61,X Special
59,X Speed
188,Yache Berry
66,Yellow Flute
264,Yellow Scarf
74,Yellow Shard
486,Ylw Apricorn
300,Zap Plate
52,Zinc
276,Zoom Lens
